Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Price_Log,Encoded_Ahmedabad,Encoded_Bangalore,Encoded_Chennai,Encoded_Coimbatore,Encoded_Delhi,Encoded_Hyderabad,Encoded_Jaipur,Encoded_Kochi,Encoded_Kolkata,Encoded_Mumbai,Encoded_Pune,Encoded_CNG,Encoded_Diesel,Encoded_Electric,Encoded_LPG,Encoded_Petrol,Encoded_Automatic,Encoded_Manual,Encoded_First,Encoded_Fourth & Above,Encoded_Second,Encoded_Third,Encoded_Ambassador,Encoded_Audi,Encoded_BMW,Encoded_Bentley,Encoded_Chevrolet,Encoded_Datsun,Encoded_Fiat,Encoded_Force,Encoded_Ford,Encoded_Honda,Encoded_Hyundai,Encoded_Isuzu,Encoded_Jaguar,Encoded_Jeep,Encoded_Lamborghini,Encoded_Land Rover,Encoded_Mahindra,Encoded_Maruti,Encoded_Mercedes-Benz,Encoded_Mini,Encoded_Mitsubishi,Encoded_Nissan,Encoded_Porsche,Encoded_Renault,Encoded_Skoda,Encoded_Smart,Encoded_Tata,Encoded_Toyota,Encoded_Volkswagen,Encoded_Volvo
2010,72000,26.6,998,58.16,5,1.75,0.559615788,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,41000,19.67,1582,126.2,5,12.5,2.525728644,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,46000,18.2,1199,88.7,5,4.5,1.504077397,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,87000,20.77,1248,88.76,7,6,1.791759469,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,40670,15.2,1968,140.8,5,17.74,2.875821977,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,75000,21.1,814,55.2,5,2.35,0.854415328,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,86999,23.08,1461,63.1,5,3.5,1.252762968,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,36000,11.36,2755,171.5,8,17.5,2.862200881,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,64430,20.54,1598,103.6,5,5.2,1.648658626,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,65932,22.3,1248,74,5,1.95,0.667829373,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
